DEPTH,RHOB,DT,GR,AI,AI_REL,PHIE,MD,VP
58.8,,523.517,4.2328,3824136.0,-327.9609,,58.8,15948945.405000001
58.95,,523.5095,3.7989,3824190.25,-327.9609,,58.95,15948716.9175
59.1,,523.5021,3.1139,3824244.25,-327.9609,,59.1,15948491.4765
59.25,,523.4947,3.0002,3824298.5,-327.9609,,59.25,15948266.0355
59.4,,523.4873,2.904,3824352.75,-846.674,,59.4,15948040.5945
59.55,,523.4802,2.8819,3824405.25,-1136.1552,,59.55,15947824.293
59.7,,523.4727,3.0304,3824459.5,-1178.7623,,59.7,15947595.8055
59.85,,523.4653,3.1464,3824513.5,-1178.7623,,59.85,15947370.3645
60.0,,523.4579,3.3941,3824568.0,-1178.7623,,60.0,15947144.9235
60.15,,523.4505,3.583,3824622.0,-1178.7623,,60.15,15946919.482500002
60.3,,523.4431,3.9703,3824676.25,-1178.7623,,60.3,15946694.041499998
60.45,,523.4356,4.247,3824730.5,-1178.7623,,60.45,15946465.554000001
60.6,,523.4285,4.6752,3824782.75,-1178.7623,,60.6,15946249.2525
60.75,,523.4211,4.8436,3824836.75,-1178.7623,,60.75,15946023.8115
60.9,,523.4137,4.8436,3824890.75,-1178.7623,,60.9,15945798.370499998
61.05,,523.4062,5.3656,3824945.0,-1178.7623,,61.05,15945569.883000001
61.2,,523.3988,5.6592,3824999.25,-1178.7623,,61.2,15945344.442000002
61.35,,523.3914,5.6592,3825053.75,-1178.7623,,61.35,15945119.001
61.5,,523.384,4.8371,3825108.0,-1178.7623,,61.5,15944893.56
61.65,,523.3768,4.2736,3825160.25,-1178.7623,,61.65,15944674.212
61.8,,523.3695,4.2736,3825213.75,-1178.7623,,61.8,15944451.8175
61.95,,523.362,4.7067,3825268.5,-1178.7623,,61.95,15944223.329999998
62.1,,523.3546,5.0658,3825322.5,-1178.7623,,62.1,15943997.889
62.25,,523.3472,5.0658,3825376.75,-1178.7623,,62.25,15943772.448
62.4,,523.3398,4.4277,3825430.75,-1178.7623,,62.4,15943547.007
62.55,,523.3323,3.7723,3825485.25,-1178.7623,,62.55,15943318.5195
62.7,,523.325,3.7723,3825538.5,-1178.7623,,62.7,15943096.125000002
62.85,,523.3178,4.0717,3825591.5,-1178.7623,,62.85,15942876.777
